filename,R,G,B,H,S,V,contrast,correlation,energy,homogeneity,label
IMG20260613102146.jpg,113.75273038903062,121.0755540497449,129.74260602678572,56.073262117346935,70.34885204081633,138.32218590561226,56.32278987828316,0.9890498452641473,0.033777247983048965,0.3005152294482928,segar
IMG20260613103646.jpg,121.94951769770408,128.8072584502551,143.4339524872449,92.78738839285714,63.85738201530612,151.3616270727041,50.01517456758488,0.9862485941067595,0.031127049040624463,0.3059449931532999,segar
IMG20260613103657 - Copy.jpg,158.32712850765307,155.16232860331633,159.53970025510205,95.57710857780613,27.82975924744898,166.1385124362245,40.76525464445868,0.9899250560272821,0.02012940627859204,0.2672255584620947,segar
IMG20260613103657.jpg,114.6231465242347,117.48359773596938,130.36937978316325,108.44722576530613,75.76014429209184,133.26028380102042,40.94670884048687,0.9963068629982692,0.02740769923044864,0.306168894984439,segar
IMG20260613103708.jpg,119.13781489158163,116.93744021045919,127.9662786989796,88.25374681122449,73.94913903061224,135.40447624362244,33.779468289557975,0.996527203690645,0.02983559773792452,0.38423765792551634,segar
IMG20260613103821 - Copy (4).jpg,93.8509446747449,105.29350685586735,127.22271603954081,105.66701211734694,78.22849569515306,127.57772640306122,61.498258327994876,0.9867463399908041,0.025959604561418617,0.2590950533401886,segar
IMG20260613103821 - Copy (5).jpg,176.83456234056123,175.23256138392858,170.46631855867346,70.13450653698979,27.833227040816325,183.2928093112245,63.377882767456754,0.9879465320943555,0.02328399057844301,0.2959095421642812,segar
IMG20260613103825.jpg,160.77570950255102,156.349609375,154.0215441645408,64.81246014030613,26.89616549744898,165.59416852678572,38.01977898782832,0.9880689692051772,0.027372341149616227,0.3373821217233588,segar
IMG20260613104122 - Copy (2).jpg,95.72405133928571,99.67564174107143,108.01261559311224,90.28972018494898,46.145587531887756,110.62631536989795,9.10550128122998,0.9966800686451359,0.0321174498998676,0.40357604532119257,segar
IMG20260613104122 - Copy (3).jpg,118.77180325255102,120.48028938137755,125.52678571428571,81.36063058035714,35.73126594387755,129.33705357142858,14.43609865470852,0.9960223382774703,0.0317305654436013,0.4129693829498873,segar
IMG20260613104122 - Copy (4).jpg,121.04031808035714,128.07039221938774,139.65754544005102,93.13241390306122,47.586156728316325,142.1465840242347,18.72845932094811,0.9949412793594803,0.04237558341812514,0.4602305999706434,segar
IMG20260613104122 - Copy (5).jpg,47.585518973214285,53.118283641581634,62.72841597576531,106.06096540178571,98.0262675382653,63.5041653380102,16.240831197950037,0.9942660383770511,0.07302862034414635,0.4070536161708736,segar
IMG20260613104122 - Copy.jpg,101.93016581632654,106.97871492346938,111.63743622448979,97.94784359056122,33.46488360969388,113.0024713010204,23.21036194746957,0.9904412624507802,0.027492408076199445,0.3203852002853159,segar
IMG20260613104122.jpg,91.72293526785714,109.88175621811224,128.7527702487245,109.63502471301021,73.19770408163265,129.39084422831633,19.833159833440103,0.9931981356882389,0.0368278702987328,0.3856280243476169,segar
IMG20260613104136 - Copy (2).jpg,115.14219945790816,120.29426419005102,134.42769451530611,101.6309590242347,66.22098214285714,137.72315449617346,19.209981582319024,0.9971725253564191,0.025081660080663915,0.379808462716996,segar
IMG20260613104136 - Copy (3).jpg,103.86507493622449,118.02453364158163,134.8919005102041,104.04231106505102,64.3890306122449,135.42472496811226,12.636270819987189,0.9947659396506917,0.0366181631542552,0.4303113900024833,segar
IMG20260613104136 - Copy (4).jpg,104.89945392219387,121.37996253188776,140.6306002869898,105.18528778698979,68.13843271683673,140.98871970663265,16.66101457399103,0.9925196927684822,0.03959898569180772,0.4010900427371203,segar
IMG20260613104136 - Copy (5).jpg,81.02895806760205,98.39614556760205,118.96743463010205,97.7065728635204,94.91059470663265,119.9985650510204,18.429432254964766,0.9961379497982071,0.04705793345907223,0.42920930204878865,segar
IMG20260613104136 - Copy (6).jpg,78.36445711096938,92.38641980229592,111.76841517857143,97.18417171556122,87.92805325255102,113.15108816964286,10.684196828955798,0.9970662940385627,0.040283863526049395,0.4743789602753178,segar
IMG20260613104136 - Copy.jpg,127.61322146045919,133.71593989158163,144.21635841836735,74.87203045280613,50.901646205357146,148.89164142219389,19.984344971172323,0.9950111674769129,0.030932766500641324,0.36927393404147124,segar
segar.jpg,98.2822265625,95.52136479591837,100.88795440051021,99.18813775510205,46.43427136479592,104.8458027742347,36.25816784112748,0.9960044077701017,0.0245035315602311,0.33938601682047537,segar
segar1.jpg,55.90479512117347,55.761937978316325,60.935327646683675,106.60716278698979,57.356664540816325,63.38486527423469,25.03197069186419,0.9884995521481973,0.03675144676601503,0.4006445089400433,segar
Segar10.jpg,128.9745097257653,142.8928372130102,168.33699378188774,106.39058514030613,65.85453204719387,168.8098692602041,107.20265454836643,0.9754813222558204,0.01960722767197818,0.23733089432578475,segar
Segar12.jpg,82.30937101403062,80.12422273596938,90.21805245535714,114.8882134885204,55.619838169642854,92.46625876913265,72.91826153106985,0.9880335619044784,0.02819051794094975,0.3093970021940584,segar
Segar13.jpg,110.70679209183673,113.35606664540816,126.40122767857143,109.13791454081633,43.70908402423469,127.4876634247449,75.51965887251762,0.9829889851726274,0.019264080023863945,0.2706936186500488,segar
Segar15.jpg,112.18929368622449,124.60407366071429,150.87840800382654,110.08073580994898,82.90664859693878,150.91489955357142,82.07931614349775,0.9906775612396114,0.024875161812429575,0.31288493039992615,segar
segar2.jpg,142.3252551020408,143.2243502869898,153.64592633928572,101.5639349489796,51.75673628826531,155.8467394770408,61.32357062780268,0.9946413049991476,0.02713069082150315,0.3401680555321742,segar
Segar3.jpg,116.84847337372449,119.85951450892857,124.88502471301021,110.8099290497449,36.00396603954081,128.78132971938774,59.786254804612426,0.9901020716765394,0.0195162020560607,0.27005678203224504,segar
Segar4.jpg,113.95932318239795,118.45424107142857,123.14538823341837,102.42633928571429,47.92464524872449,126.80877311862245,34.79190022421525,0.9962383906859023,0.02562872042808543,0.3311143189945096,segar
